iter	Passed	Remaining
0	0	90
1	0	101
2	0	99
3	0	103
4	1	114
5	1	110
6	1	110
7	1	110
8	1	108
9	2	107
10	2	106
11	2	103
12	2	102
13	2	101
14	3	100
15	3	100
16	3	99
17	3	98
18	3	98
19	4	102
20	4	102
21	4	102
22	4	101
23	5	101
24	5	101
25	5	100
26	5	99
27	5	99
28	6	101
29	6	100
30	6	100
31	6	100
32	7	99
33	7	99
34	7	100
35	7	100
36	7	99
37	8	99
38	8	98
39	8	97
40	8	97
41	8	97
42	9	97
43	9	96
44	9	96
45	9	95
46	9	95
47	10	95
48	10	94
49	10	94
50	10	94
51	10	94
52	11	93
53	11	93
54	11	93
55	11	93
56	11	93
57	12	93
58	12	92
59	12	93
60	13	93
61	13	93
62	13	93
63	13	92
64	13	93
65	14	93
66	14	93
67	14	93
68	14	92
69	15	92
70	15	92
71	15	91
72	15	91
73	15	91
74	16	90
75	16	90
76	16	90
77	16	89
78	16	89
79	16	89
80	17	88
81	17	88
82	17	88
83	18	89
84	18	88
85	18	88
86	18	88
87	18	88
88	19	88
89	19	88
90	19	87
91	19	87
92	20	87
93	20	87
94	20	86
95	20	86
96	20	86
97	20	85
98	21	85
99	21	85
100	21	85
101	21	84
102	22	84
103	22	84
104	22	84
105	22	84
106	23	84
107	23	84
108	23	84
109	23	83
110	23	83
111	24	83
112	24	83
113	24	83
114	24	83
115	25	83
116	25	82
117	25	82
118	25	82
119	26	82
120	26	82
121	26	82
122	26	82
123	26	81
124	27	81
125	27	81
126	27	81
127	27	80
128	28	80
129	28	80
130	28	79
131	28	79
132	28	79
133	29	79
134	29	79
135	29	79
136	29	78
137	29	78
138	30	78
139	30	78
140	30	77
141	30	77
142	31	77
143	31	77
144	31	76
145	31	76
146	31	76
147	32	76
148	32	75
149	32	76
150	32	75
151	33	75
152	33	75
153	33	75
154	33	74
155	33	74
156	34	74
157	34	74
158	34	73
159	34	73
160	34	73
161	35	73
162	35	73
163	35	72
164	35	72
165	35	72
166	36	72
167	36	71
168	36	71
169	36	71
170	37	71
171	37	71
172	37	70
173	37	70
174	37	70
175	38	70
176	38	69
177	38	69
178	38	69
179	39	69
180	39	69
181	39	69
182	39	68
183	39	68
184	40	68
185	40	68
186	40	67
187	40	67
188	40	67
189	41	67
190	41	66
191	41	66
192	41	66
193	42	66
194	42	65
195	42	65
196	42	65
197	42	65
198	43	65
199	43	65
200	43	64
201	43	64
202	44	64
203	44	64
204	44	64
205	44	64
206	45	63
207	45	63
208	45	63
209	45	63
210	45	62
211	46	62
212	46	62
213	46	62
214	46	61
215	46	61
216	47	61
217	47	61
218	47	60
219	47	60
220	47	60
221	48	60
222	48	59
223	48	59
224	48	59
225	49	59
226	49	59
227	49	58
228	49	58
229	49	58
230	50	58
231	50	58
232	50	57
233	50	57
234	50	57
235	50	56
236	51	56
237	51	56
238	51	56
239	51	56
240	52	56
241	52	55
242	52	55
243	52	55
244	52	55
245	53	54
246	53	54
247	53	54
248	53	54
249	54	54
250	54	53
251	54	53
252	54	53
253	55	53
254	55	53
255	55	52
256	55	52
257	55	52
258	55	52
259	56	51
260	56	51
261	56	51
262	56	51
263	56	50
264	57	50
265	57	50
266	57	50
267	57	50
268	58	49
269	58	49
270	58	49
271	58	49
272	58	48
273	58	48
274	59	48
275	59	48
276	59	48
277	59	47
278	60	47
279	60	47
280	60	47
281	60	47
282	61	46
283	61	46
284	61	46
285	61	46
286	62	46
287	62	45
288	62	45
289	62	45
290	63	45
291	63	45
292	63	44
293	63	44
294	63	44
295	63	44
296	64	43
297	64	43
298	64	43
299	64	43
300	64	42
301	65	42
302	65	42
303	65	42
304	65	42
305	66	41
306	66	41
307	66	41
308	66	41
309	66	40
310	67	40
311	67	40
312	67	40
313	67	40
314	67	39
315	68	39
316	68	39
317	68	39
318	68	39
319	68	38
320	69	38
321	69	38
322	69	38
323	69	37
324	69	37
325	70	37
326	70	37
327	70	36
328	70	36
329	70	36
330	71	36
331	71	36
332	71	35
333	71	35
334	71	35
335	72	35
336	72	35
337	72	34
338	72	34
339	72	34
340	73	34
341	73	33
342	73	33
343	73	33
344	73	33
345	74	33
346	74	32
347	74	32
348	74	32
349	74	32
350	75	31
351	75	31
352	75	31
353	75	31
354	75	31
355	76	30
356	76	30
357	76	30
358	76	30
359	76	29
360	77	29
361	77	29
362	77	29
363	77	29
364	77	28
365	78	28
366	78	28
367	78	28
368	78	27
369	78	27
370	79	27
371	79	27
372	79	27
373	79	26
374	80	26
375	80	26
376	80	26
377	80	26
378	80	25
379	80	25
380	81	25
381	81	25
382	81	24
383	81	24
384	81	24
385	82	24
386	82	24
387	82	23
388	82	23
389	83	23
390	83	23
391	83	22
392	83	22
393	83	22
394	84	22
395	84	22
396	84	21
397	84	21
398	84	21
399	85	21
400	85	21
401	85	20
402	85	20
403	85	20
404	86	20
405	86	19
406	86	19
407	86	19
408	86	19
409	87	19
410	87	18
411	87	18
412	87	18
413	87	18
414	88	18
415	88	17
416	88	17
417	88	17
418	88	17
419	89	16
420	89	16
421	89	16
422	89	16
423	90	16
424	90	15
425	90	15
426	90	15
427	90	15
428	91	15
429	91	14
430	91	14
431	91	14
432	91	14
433	92	14
434	92	13
435	92	13
436	92	13
437	92	13
438	93	12
439	93	12
440	93	12
441	93	12
442	93	12
443	93	11
444	94	11
445	94	11
446	94	11
447	94	10
448	94	10
449	95	10
450	95	10
451	95	10
452	95	9
453	95	9
454	96	9
455	96	9
456	96	9
457	96	8
458	96	8
459	97	8
460	97	8
461	97	8
462	97	7
463	97	7
464	98	7
465	98	7
466	98	6
467	98	6
468	98	6
469	98	6
470	99	6
471	99	5
472	99	5
473	99	5
474	99	5
475	100	5
476	100	4
477	100	4
478	100	4
479	100	4
480	101	3
481	101	3
482	101	3
483	101	3
484	101	3
485	101	2
486	102	2
487	102	2
488	102	2
489	102	2
490	103	1
491	103	1
492	103	1
493	103	1
494	103	1
495	104	0
496	104	0
497	104	0
498	104	0
499	104	0
